symbol,company,last.sale.price,market.cap,ipo.year,sector,industry
CMSC,CMS Energy Corporation,24.99,NA,2018,Public Utilities,Power Generation
CNA,CNA Financial Corporation,45.95,$12.47B,NA,Finance,Property-Casualty Insurers
CNF,CNFinance Holdings Limited,6.57,$446.9M,2018,Finance,Finance: Consumer Services
CNHI,CNH Industrial N.V.,10.29,$13.93B,2013,Capital Goods,Construction/Ag Equipment/Trucks
CNO,"CNO Financial Group, Inc.",17.61,$2.9B,NA,Finance,Accident &Health Insurance
CEO,CNOOC Limited,166.77,$1.77B,2001,Energy,Oil & Gas Production
CNXM,CNX Midstream Partners LP,17.74,$1.13B,2014,Public Utilities,Natural Gas Distribution
CEIX,CNX Resources Corporation,34.09,$946.95M,2017,Energy,Coal Mining
CNX,CNX Resources Corporation,13.44,$2.74B,1999,Energy,Oil & Gas Production
KOF,Coca Cola Femsa S.A.B. de C.V.,64.79,$13.61B,1993,Consumer Non-Durables,Beverages (Production/Distribution)
KO,Coca-Cola Company (The),47.61,$202.65B,NA,Consumer Non-Durables,Beverages (Production/Distribution)
CCEP,Coca-Cola European Partners plc,46.2,$21.94B,2016,Consumer Non-Durables,Beverages (Production/Distribution)
CDE,"Coeur Mining, Inc.",4.44,$902.53M,NA,Basic Industries,Precious Metals
FOF,"Cohen & Steers Closed-End Opportunity Fund, Inc.",12.12,$329.77M,2006,NA,NA
INB,"Cohen & Steers Global Income Builder, Inc.",8.2,$189.76M,2007,NA,NA
CNS,Cohen & Steers Inc,36.77,$1.72B,2004,Finance,Investment Managers
UTF,"Cohen & Steers Infrastructure Fund, Inc",22.18,$1.89B,2004,NA,NA
LDP,"Cohen & Steers Limited Duration Preferred and Income Fund, Inc",22.81,$657.95M,2012,NA,NA
MIE,"Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.",9.07,$243.02M,2013,NA,NA
RQI,Cohen & Steers Quality Income Realty Fund Inc,11.37,$1.24B,2002,NA,NA
RNP,Cohen & Steers Reit and Preferred Income Fund Inc,18.95,$901.39M,2003,NA,NA
PSF,"Cohen & Steers Select Preferred and Income Fund, Inc.",25.55,$306.57M,2010,NA,NA
RFI,"Cohen & Steers Total Return Realty Fund, Inc.",11.89,$310.83M,1993,NA,NA
CFX,Colfax Corporation,23.88,$2.8B,2008,Capital Goods,Fluid Controls
CFXA,Colfax Corporation,112.71,NA,NA,NA,NA
CL,Colgate-Palmolive Company,62.63,$54.32B,NA,Consumer Non-Durables,Package Goods/Cosmetics
CCH,Collier Creek Holdings,9.75,$115.78M,2018,Finance,Business Services
CCH.U,Collier Creek Holdings,NA,NA,2018,NA,NA
CCH.WS,Collier Creek Holdings,NA,NA,NA,NA,NA
CXE,Colonial High Income Municipal Trust,4.76,$150M,1989,NA,NA
CIF,Colonial Intermediate High Income Fund,2.25,$44.33M,NA,NA,NA
CXH,Colonial Investment Grade Municipal Trust,9.221,$84.01M,1989,NA,NA
CMU,Colonial Municipal Income Trust,4.34,$122.91M,1987,NA,NA
CLNY,"Colony Capital, Inc.",5.57,$2.74B,2014,Consumer Services,Real Estate Investment Trusts
CLNY^B,"Colony Capital, Inc.",24.78,NA,NA,NA,NA
CLNY^E,"Colony Capital, Inc.",24.88,NA,NA,NA,NA
CLNY^G,"Colony Capital, Inc.",21.4,NA,NA,NA,NA
CLNY^H,"Colony Capital, Inc.",20.04,NA,NA,NA,NA
CLNY^I,"Colony Capital, Inc.",20.16,NA,NA,NA,NA
CLNY^J,"Colony Capital, Inc.",20.1,NA,NA,NA,NA
CLNC,"Colony Credit Real Estate, Inc.",16.41,$2.1B,2018,Consumer Services,Real Estate Investment Trusts
CXP,"Columbia Property Trust, Inc.",20.81,$2.46B,2013,Consumer Services,Real Estate Investment Trusts
STK,"Columbia Seligman Premium Technology Growth Fund, Inc",18.7,$292.25M,2009,NA,NA
CCZ,Comcast Corporation,48.8,NA,NA,Consumer Services,Television Services
CMA,Comerica Incorporated,81.19,$13.13B,NA,Finance,Major Banks
FIX,"Comfort Systems USA, Inc.",48.16,$1.79B,1997,Capital Goods,Engineering & Construction
CMC,Commercial Metals Company,17,$2B,NA,Basic Industries,Steel/Iron Ore
CBU,"Community Bank System, Inc.",63.95,$3.27B,NA,Finance,Major Banks
CYH,"Community Health Systems, Inc.",4.05,$470.95M,2e3,Health Care,Hospital/Nursing Management
CHCT,Community Healthcare Trust Incorporated,31.86,$590.49M,2015,Consumer Services,Real Estate Investment Trusts
CIG,Comp En De Mn Cemig ADS,3.65,$5.32B,NA,Public Utilities,Electric Utilities: Central
CIG.C,Comp En De Mn Cemig ADS,NA,NA,NA,NA,NA
CBD,Companhia Brasileira de Distribuicao,23.84,$6.36B,1997,Consumer Services,Food Chains
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,10.83,$7.4B,2002,Public Utilities,Water Supply
ELP,Companhia Paranaense de Energia (COPEL),8.79,$2.41B,NA,Public Utilities,Electric Utilities: Central
CCU,"Compania Cervecerias Unidas, S.A.",27.01,$4.99B,NA,Consumer Non-Durables,Beverages (Production/Distribution)
CODI,Compass Diversified Holdings,14.32,$857.77M,2006,Consumer Durables,Home Furnishings
CODI^A,Compass Diversified Holdings,18.58,NA,NA,NA,NA
CODI^B,Compass Diversified Holdings,19.7,NA,NA,NA,NA
CMP,"Compass Minerals International, Inc.",48.59,$1.64B,2003,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CRK,"Comstock Resources, Inc.",6.48,$686.04M,NA,Energy,Oil & Gas Production
CAG,"ConAgra Brands, Inc.",21.57,$10.48B,NA,Consumer Non-Durables,Packaged Foods
CXO,Concho Resources Inc.,124.87,$25.01B,2007,Energy,Oil & Gas Production
CCM,Concord Medical Services Holdings Limited,3.18,$137.9M,2009,Health Care,Medical/Nursing Services
CNDT,Conduent Incorporated,12.21,$2.58B,2016,Miscellaneous,Business Services
COP,ConocoPhillips,67.9,$78.17B,NA,Energy,Integrated oil Companies
CCR,CONSOL Coal Resources LP,17.36,$477.79M,2015,Energy,Coal Mining
ED,Consolidated Edison Inc,76.51,$23.83B,NA,Public Utilities,Power Generation
STZ,Constellation Brands Inc,164.15,$31.17B,NA,Consumer Non-Durables,Beverages (Production/Distribution)
STZ.B,Constellation Brands Inc,NA,NA,NA,NA,NA
CSTM,Constellium N.V.,8.29,$1.12B,2013,Basic Industries,Metal Fabrications
TCS,Container Store (The),6.05,$295.93M,2013,Consumer Services,Home Furnishings
CBPX,"Continental Building Products, Inc.",25.88,$953.47M,2014,Capital Goods,Building Materials
CLR,"Continental Resources, Inc.",47.59,$17.89B,2007,Energy,Oil & Gas Production
VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",7.54,$752.13M,2013,Transportation,Air Freight/Delivery Services
CTRA,"Contura Energy, Inc.",64.75,$639.4M,NA,Energy,Coal Mining
CTB,Cooper Tire & Rubber Company,33.98,$1.7B,NA,Consumer Durables,Automotive Aftermarket
CPS,Cooper-Standard Holdings Inc.,74.21,$1.32B,NA,Capital Goods,Auto Parts:O.E.M.
CTK,CooTek (Cayman) Inc.,11.34,$724.81M,2018,Technology,EDP Services
CPA,"Copa Holdings, S.A.",92.08,$3.89B,2005,Transportation,Air Freight/Delivery Services
CLB,Core Laboratories N.V.,70.5,$3.12B,1995,Energy,Oilfield Services/Equipment
CXW,"CoreCivic, Inc.",19.49,$2.31B,NA,Consumer Services,Real Estate Investment Trusts
CLGX,"CoreLogic, Inc.",36.56,$2.95B,NA,Technology,EDP Services
CORR,"CorEnergy Infrastructure Trust, Inc.",34.71,$414.76M,NA,Consumer Services,Real Estate Investment Trusts
CORR^A,"CorEnergy Infrastructure Trust, Inc.",24.68,NA,NA,NA,NA
CPLG,CorePoint Lodging Inc.,12.4,$739.69M,2018,Consumer Services,Real Estate Investment Trusts
COR,CoreSite Realty Corporation,94.29,$3.46B,2010,Consumer Services,Real Estate Investment Trusts
GLW,Corning Incorporated,30.63,$24.52B,NA,Basic Industries,Telecommunications Equipment
CAAP,Corporacion America Airports SA,6.5,$1.04B,2018,Transportation,Aerospace
GYC,Corporate Asset Backed Corp CABCO,21.29,NA,NA,Finance,Finance: Consumer Services
OFC,Corporate Office Properties Trust,23.47,$2.55B,NA,Consumer Services,Real Estate Investment Trusts
CZZ,Cosan Limited,10.54,$2.58B,NA,Consumer Non-Durables,Specialty Foods
CMRE,Costamare Inc.,4.96,$552.7M,2010,Transportation,Marine Transportation
CMRE^B,Costamare Inc.,22.12,NA,NA,NA,NA
CMRE^C,Costamare Inc.,22.389,NA,NA,NA,NA
CMRE^D,Costamare Inc.,22.75,NA,NA,NA,NA
CMRE^E,Costamare Inc.,23.14,NA,NA,NA,NA
COT,Cott Corporation,15.08,$2.08B,NA,Consumer Non-Durables,Beverages (Production/Distribution)
COTY,Coty Inc.,7.53,$5.66B,2013,Consumer Non-Durables,Package Goods/Cosmetics
CUZ,Cousins Properties Incorporated,8.58,$3.61B,NA,Consumer Services,Real Estate Investment Trusts
CVA,Covanta Holding Corporation,15.69,$2.06B,NA,Basic Industries,Electric Utilities: Central
CVIA,Covia Holdings Corporation,5.25,$688.73M,2018,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CPF,CPB Inc.,26.55,$774.53M,NA,Finance,Major Banks
CPL,CPFL Energia S.A.,16.17,$8.23B,2004,Public Utilities,Electric Utilities: Central
CR,Crane Co.,79.85,$4.75B,NA,Capital Goods,Metal Fabrications
CRD.A,Crawford & Company,NA,NA,NA,NA,NA
CRD.B,Crawford & Company,NA,NA,NA,NA,NA
BAP,Credicorp Ltd.,232.05,$18.51B,NA,Finance,Commercial Banks
CS,Credit Suisse Group,12.37,$31.57B,NA,Finance,Investment Bankers/Brokers/Service
CPG,Crescent Point Energy Corporation,3.5,$1.92B,NA,Energy,Oil & Gas Production
CEQP,Crestwood Equity Partners LP,32.25,$2.3B,NA,Consumer Services,Other Consumer Services
CRH,CRH PLC,28.82,$23.48B,NA,Capital Goods,Building Materials
CRT,Cross Timbers Royalty Trust,13.41,$80.46M,1992,Energy,Oil & Gas Production
CAPL,CrossAmerica Partners LP,16.8,$578.66M,2012,Energy,Oil Refining/Marketing
CCI,Crown Castle International Corporation,107.61,$44.64B,NA,Consumer Services,Real Estate Investment Trusts
CCI^A,Crown Castle International Corporation,1030.15,NA,NA,NA,NA
CCK,"Crown Holdings, Inc.",48.27,$6.53B,NA,Consumer Durables,Containers/Packaging
CRY,"CryoLife, Inc.",28.44,$1.05B,NA,Health Care,Medical/Dental Instruments
CSS,"CSS Industries, Inc.",9.4,$83.06M,NA,Consumer Services,Consumer: Greeting Cards
CTS,CTS Corporation,27.82,$920.48M,NA,Technology,Electrical Products
CUBE,CubeSmart,29.25,$5.45B,NA,Consumer Services,Real Estate Investment Trusts
CUB,Cubic Corporation,62.35,$1.7B,NA,Capital Goods,Industrial Machinery/Components
CFR,"Cullen/Frost Bankers, Inc.",99.9,$6.39B,NA,Finance,Major Banks
CFR^A,"Cullen/Frost Bankers, Inc.",24.5,NA,NA,NA,NA
CULP,"Culp, Inc.",18.84,$235.35M,NA,Basic Industries,Textiles
CMI,Cummins Inc.,150.56,$24.17B,NA,Energy,Industrial Machinery/Components
CURO,CURO Group Holdings Corp.,12.8,$588.71M,2017,Finance,Finance: Consumer Services
CW,Curtiss-Wright Corporation,112.01,$4.9B,NA,Technology,Industrial Machinery/Components
SRF,Cushing Energy Income Fund (The),7.51,$18.59M,2012,NA,NA
SRV,Cushing MLP & Infrastructure Total Return Fund,9.91,$66.74M,NA,NA,NA
SZC,Cushing Renaissance Fund (The),15.52,$121.14M,2012,NA,NA
CWK,Cushman & Wakefield plc,16.77,$3.62B,2018,Finance,Real Estate
CUBI,"Customers Bancorp, Inc",20.97,$664.48M,NA,Finance,Major Banks
CUBI^C,"Customers Bancorp, Inc",25.7401,NA,NA,NA,NA
CUBI^D,"Customers Bancorp, Inc",25.52,NA,NA,NA,NA
CUBI^E,"Customers Bancorp, Inc",25.72,NA,NA,NA,NA
CUBI^F,"Customers Bancorp, Inc",24.65,NA,NA,NA,NA
CVI,CVR Energy Inc.,39.39,$3.96B,2007,Energy,Integrated oil Companies
UAN,"CVR Partners, LP",3.72,$421.41M,2011,Basic Industries,Agricultural Chemicals
CVRR,"CVR Refining, LP",10.49,$1.55B,2013,Energy,Integrated oil Companies
CVS,CVS Health Corporation,65.52,$84.73B,NA,Health Care,Medical/Nursing Services
CELP,"Cypress Energy Partners, L.P.",6.75,$80.64M,2014,Energy,Oilfield Services/Equipment
DHI,"D.R. Horton, Inc.",37.18,$13.89B,NA,Capital Goods,Homebuilding
DAN,Dana Incorporated,17.76,$2.57B,NA,Capital Goods,Auto Parts:O.E.M.
DHR,Danaher Corporation,107.45,$75.31B,NA,Capital Goods,Industrial Machinery/Components
DAC,Danaos Corporation,0.9115,$194.45M,2006,Transportation,Marine Transportation
DQ,DAQO New Energy Corp.,29.33,$377.3M,2010,Technology,Semiconductors
DRI,"Darden Restaurants, Inc.",109.02,$13.46B,NA,Consumer Services,Restaurants
DAR,Darling Ingredients Inc.,21.49,$3.54B,NA,Consumer Non-Durables,Packaged Foods
DVA,DaVita Inc.,57.37,$9.52B,NA,Health Care,Hospital/Nursing Management
DCP,DCP Midstream LP,33.49,$4.8B,NA,Public Utilities,Natural Gas Distribution
DCP^B,DCP Midstream LP,23.13,NA,NA,NA,NA
DCP^C,DCP Midstream LP,22.95,NA,NA,NA,NA
DF,Dean Foods Company,4.64,$424.1M,NA,Consumer Non-Durables,Packaged Foods
DECK,Deckers Outdoor Corporation,118.87,$3.46B,1993,Consumer Non-Durables,Shoe Manufacturing
DE,Deere & Company,164.61,$52.66B,NA,Capital Goods,Industrial Machinery/Components
DEX,Delaware Enhanced Global Dividend,9.345,$118.34M,2007,NA,NA
DDF,"Delaware Investments Dividend & Income Fund, Inc.",12.1,$93.03M,1993,NA,NA
DKL,"Delek Logistics Partners, L.P.",29.7,$724.54M,2012,Energy,Natural Gas Distribution
DK,"Delek US Holdings, Inc.",33.47,$2.74B,2017,Energy,Integrated oil Companies
DELL,Dell Technologies Inc.,43.35,$31.14B,2018,Technology,Computer Manufacturing
DLPH,Delphi Technologies PLC,15.94,$1.41B,2017,Capital Goods,Auto Parts:O.E.M.
DAL,"Delta Air Lines, Inc.",48.11,$32.99B,NA,Transportation,Air Freight/Delivery Services
DLX,Deluxe Corporation,44.03,$2.04B,NA,Consumer Durables,Publishing
DNR,Denbury Resources Inc.,2.24,$1.03B,NA,Energy,Oil & Gas Production
DESP,"Despegar.com, Corp.",14.19,$981.4M,2017,Consumer Services,Transportation Services
DKT,Deutsch Bk Contingent Cap Tr V,25.4,NA,NA,Finance,Major Banks
DB,Deutsche Bank AG,9.14,$18.87B,NA,Finance,Major Banks
DXB,Deutsche Bank AG,24.48,NA,NA,Finance,Major Banks
DVN,Devon Energy Corporation,27.14,$12.71B,NA,Energy,Oil & Gas Production
DHX,"DHI Group, Inc.",2.06,$108.95M,2007,Miscellaneous,Business Services
DHT,"DHT Holdings, Inc.",4.37,$627.5M,2005,Transportation,Marine Transportation
DEO,Diageo plc,142.14,$85.92B,NA,Consumer Non-Durables,Beverages (Production/Distribution)
DO,"Diamond Offshore Drilling, Inc.",11.75,$1.61B,1995,Energy,Oil & Gas Production
DRH,Diamondrock Hospitality Company,10.06,$2.09B,2005,Consumer Services,Real Estate Investment Trusts
DSX,Diana Shipping inc.,3.43,$355.91M,2005,Transportation,Marine Transportation
DSX^B,Diana Shipping inc.,24,NA,NA,NA,NA
DKS,Dick&#39;s Sporting Goods Inc,34.25,$3.37B,2002,Consumer Services,Other Specialty Stores
DBD,Diebold Nixdorf Incorporated,3.95,$300.69M,NA,Miscellaneous,Office Equipment/Supplies/Services
DLR,"Digital Realty Trust, Inc.",107.25,$22.12B,2004,Consumer Services,Real Estate Investment Trusts
DLR^C,"Digital Realty Trust, Inc.",25.73,NA,NA,NA,NA
DLR^G,"Digital Realty Trust, Inc.",24.6,NA,NA,NA,NA
DLR^H,"Digital Realty Trust, Inc.",25.32,NA,NA,NA,NA
DLR^I,"Digital Realty Trust, Inc.",25.71,NA,NA,NA,NA
DLR^J,"Digital Realty Trust, Inc.",22.33,NA,NA,NA,NA
DDS,"Dillard&#39;s, Inc.",64.64,$1.72B,NA,Consumer Services,Department/Specialty Retail Stores
DDT,"Dillard&#39;s, Inc.",26.15,NA,NA,Consumer Services,Department/Specialty Retail Stores
DIN,"Dine Brands Global, Inc.",78.64,$1.39B,NA,Consumer Services,Restaurants
DPLO,"Diplomat Pharmacy, Inc.",13.49,$1B,2014,Health Care,Medical/Nursing Services
DFS,Discover Financial Services,66.37,$22.3B,NA,Finance,Finance: Consumer Services
DNI,Dividend and Income Fund,10.87,$134.26M,NA,NA,NA
DLB,Dolby Laboratories,64.56,$6.58B,2005,Miscellaneous,Multi-Sector Companies
DG,Dollar General Corporation,113.53,$29.85B,2009,Consumer Services,Department/Specialty Retail Stores
DM,"Dominion Energy Midstream Partners, LP",17.09,$2.16B,2014,Public Utilities,Natural Gas Distribution
D,"Dominion Energy, Inc.",68.77,$53.4B,NA,Public Utilities,Electric Utilities: Central
DCUD,"Dominion Energy, Inc.",46.86,NA,2016,Public Utilities,Electric Utilities: Central
DRUA,"Dominion Energy, Inc.",24.28,NA,2016,Public Utilities,Electric Utilities: Central
DPZ,Domino&#39;s Pizza Inc,267.46,$11.12B,2004,Consumer Non-Durables,Food Distributors
UFS,Domtar Corporation,45.39,$2.95B,NA,Basic Industries,Paper
DCI,"Donaldson Company, Inc.",48.28,$6.17B,NA,Capital Goods,Pollution Control Equipment
DFIN,"Donnelley Financial Solutions, Inc.",13.57,$462.74M,2016,Consumer Services,Other Consumer Services
LPG,Dorian LPG Ltd.,6.09,$335.97M,2014,Transportation,Marine Transportation
DSL,DoubleLine Income Solutions Fund,18.58,$1.88B,2013,NA,NA
DBL,DoubleLine Opportunistic Credit Fund,19.39,$289.45M,2012,NA,NA
PLOW,"Douglas Dynamics, Inc.",36,$817.24M,2010,Capital Goods,Construction/Ag Equipment/Trucks
DEI,"Douglas Emmett, Inc.",36.12,$6.14B,2006,Consumer Services,Real Estate Investment Trusts
DOV,Dover Corporation,80.69,$11.81B,NA,Technology,Industrial Machinery/Components
DDE,Dover Downs Gaming & Entertainment Inc,2.73,$90.86M,NA,Consumer Services,Hotels/Resorts
DVD,"Dover Motorsports, Inc.",2.05,$75.14M,1996,Consumer Services,Services-Misc. Amusement & Recreation
DWDP,DowDuPont Inc.,58.06,$133.2B,2017,Basic Industries,Major Chemicals
RDY,Dr. Reddy&#39;s Laboratories Ltd,37.04,$6.15B,NA,Health Care,Major Pharmaceuticals
DRD,DRDGOLD Limited,1.99,$138.59M,NA,Basic Industries,Precious Metals
DCF,Dreyfus Alcentra,8.25,$123.43M,2017,NA,NA
DHF,Dreyfus High Yield Strategies Fund,2.92,$212.31M,1998,NA,NA
DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc.",12.19,$224.08M,2013,NA,NA
DSM,"Dreyfus Strategic Municipal Bond Fund, Inc.",7.22,$356.45M,1989,NA,NA
LEO,"Dreyfus Strategic Municipals, Inc.",7.41,$459.35M,1987,NA,NA
DRQ,"Dril-Quip, Inc.",38.31,$1.37B,1997,Energy,Metal Fabrications
DS,Drive Shack Inc.,4.5,$301.62M,NA,Consumer Services,Real Estate Investment Trusts
DS^B,Drive Shack Inc.,25.2,NA,NA,NA,NA
DS^C,Drive Shack Inc.,24.45,NA,NA,NA,NA
DS^D,Drive Shack Inc.,24.93,NA,NA,NA,NA
DSW,DSW Inc.,27.15,$2.18B,2005,Consumer Services,Clothing/Shoe/Accessory Stores
DTE,DTE Energy Company,112.98,$20.55B,NA,Public Utilities,Electric Utilities: Central
DTJ,DTE Energy Company,24.68,NA,2016,Public Utilities,Electric Utilities: Central
DTQ,DTE Energy Company,24.59,NA,NA,Public Utilities,Electric Utilities: Central
DTV,DTE Energy Company,52.85,NA,2016,Public Utilities,Electric Utilities: Central
DTW,DTE Energy Company,23.52,NA,2017,Public Utilities,Electric Utilities: Central
DTY,DTE Energy Company,25.95,NA,2016,Public Utilities,Electric Utilities: Central
DCO,Ducommun Incorporated,37.73,$430.51M,NA,Capital Goods,Military/Government/Technical
DPG,Duff & Phelps Global Utility Income Fund Inc.,13.51,$512.43M,2011,NA,NA
DSE,Duff & Phelps Select MLP and Midstream Energy Fund,4.89,$128.16M,2014,NA,NA
DNP,"Duff & Phelps Utilities Income, Inc.",10.99,$3.14B,1987,NA,NA
DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",12.85,$109.49M,1991,NA,NA
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",8.24,$226.56M,1993,NA,NA
DUK,Duke Energy Corporation,85.6,$61.02B,NA,Public Utilities,Power Generation
DUKB,Duke Energy Corporation,24.92,NA,2018,Public Utilities,Power Generation
DUKH,Duke Energy Corporation,24.17,NA,NA,Public Utilities,Power Generation
DRE,Duke Realty Corporation,28.42,$10.18B,NA,Consumer Services,Real Estate Investment Trusts
DNB,Dun & Bradstreet Corporation (The),144.46,$5.36B,NA,Finance,Finance: Consumer Services
DXC,DXC Technology Company,62.62,$17.54B,NA,Technology,EDP Services
DY,"Dycom Industries, Inc.",59.33,$1.86B,NA,Basic Industries,Water Supply
DLNG,Dynagas LNG Partners LP,4.17,$147.99M,NA,Consumer Services,Marine Transportation
DLNG^A,Dynagas LNG Partners LP,23.43,NA,NA,NA,NA
DLNG^B,Dynagas LNG Partners LP,22.25,NA,NA,NA,NA
DX,"Dynex Capital, Inc.",6.19,$369.47M,NA,Consumer Services,Real Estate Investment Trusts
DX^A,"Dynex Capital, Inc.",25.44,NA,NA,NA,NA
DX^B,"Dynex Capital, Inc.",23.61,NA,NA,NA,NA
DD^A,E.I. du Pont de Nemours and Company,80.5253,NA,NA,Basic Industries,Major Chemicals
DD^B,E.I. du Pont de Nemours and Company,99.45,NA,NA,Basic Industries,Major Chemicals
ELF,"e.l.f. Beauty, Inc.",8.36,$403.41M,2016,Consumer Non-Durables,Package Goods/Cosmetics
EGIF,Eagle Growth and Income Opportunities Fund,14.01,$100.6M,2015,NA,NA
EXP,Eagle Materials Inc,68.36,$3.21B,NA,Capital Goods,Building Materials
ECC,Eagle Point Credit Company Inc.,15.12,$349.54M,2014,NA,NA
ECCA,Eagle Point Credit Company Inc.,25.5,NA,2015,NA,NA
ECCB,Eagle Point Credit Company Inc.,25.95,NA,2016,NA,NA
ECCX,Eagle Point Credit Company Inc.,24.65,NA,2018,NA,NA
ECCY,Eagle Point Credit Company Inc.,24.671,NA,2017,NA,NA
ESTE,"Earthstone Energy, Inc.",6.63,$425.06M,NA,Energy,Oil & Gas Production
DEA,"Easterly Government Properties, Inc.",17.18,$1.04B,2015,Consumer Services,Real Estate Investment Trusts
EGP,"EastGroup Properties, Inc.",97.2,$3.5B,NA,Consumer Services,Real Estate Investment Trusts
EMN,Eastman Chemical Company,81.2,$11.37B,NA,Basic Industries,Major Chemicals
KODK,Eastman Kodak Company,3.03,$129.46M,NA,Miscellaneous,Industrial Machinery/Components
ETN,"Eaton Corporation, PLC",71.87,$31.15B,NA,Technology,Industrial Machinery/Components
ETV,Eaton Vance Corporation,14.51,$1.13B,2005,NA,NA
ETW,Eaton Vance Corporation,9.95,$1.07B,2005,NA,NA
EV,Eaton Vance Corporation,39.7,$4.64B,NA,Finance,Investment Managers
EOI,Eaton Vance Enhance Equity Income Fund,13.84,$542.95M,2004,NA,NA
EOS,Eaton Vance Enhanced Equity Income Fund II,16.47,$786.46M,2005,NA,NA
EFT,Eaton Vance Floating Rate Income Trust,13.29,$529.79M,2004,NA,NA
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,8.86,$209.2M,2017,NA,NA
EFF,Eaton vance Floating-Rate Income Plus Fund,14.83,$112.8M,2013,NA,NA
EHT,Eaton Vance High Income 2021 Target Term Trust,9.31,$199.8M,2016,NA,NA
ETX,Eaton Vance Municipal Income 2028 Term Trust,19.5,$211.28M,2013,NA,NA
EOT,Eaton Vance Municipal Income Trust,20.28,$308.87M,2009,NA,NA
EVN,Eaton Vance Municipal Income Trust,11.33,$294.67M,1999,NA,NA
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,8.69,$553.29M,2007,NA,NA
EFR,Eaton Vance Senior Floating-Rate Fund,12.94,$476.82M,2003,NA,NA
EVF,Eaton Vance Senior Income Trust,6.08,$230.23M,1998,NA,NA
EVG,Eaton Vance Short Diversified Income Fund,12.64,$226.01M,2005,NA,NA
EVT,Eaton Vance Tax Advantaged Dividend Income Fund,20.89,$1.52B,2003,NA,NA
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,21.28,$320.34M,2004,NA,NA
EXD,Eaton Vance Tax-Advantaged Bond,9.08,$88.36M,2010,NA,NA
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,14.78,$1.13B,2004,NA,NA
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,14.63,$388.22M,2005,NA,NA
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,11.13,$1.67B,2006,NA,NA
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,8.05,$2.43B,2007,NA,NA
ECT,ECA Marcellus Trust I,1.72,$30.28M,2010,Energy,Oil & Gas Production
ECR,Eclipse Resources Corporation,1.14,$344.89M,2014,Energy,Oil & Gas Production
ECL,Ecolab Inc.,154.5,$44.63B,NA,Basic Industries,Package Goods/Cosmetics
EC,Ecopetrol S.A.,18.55,$38.14B,NA,Energy,Oil & Gas Production
EIX,Edison International,54.88,$17.88B,NA,Public Utilities,Electric Utilities: Central
EW,Edwards Lifesciences Corporation,168.41,$35.21B,NA,Health Care,Industrial Specialties
EHIC,eHi Car Services Limited,9.73,$675.7M,2014,Consumer Services,Rental/Leasing Companies
EP^C,El Paso Corporation,45.1645,NA,NA,Public Utilities,Natural Gas Distribution
EE,El Paso Electric Company,50.88,$2.07B,NA,Public Utilities,Electric Utilities: Central
ELAN,Elanco Animal Health Incorporated,31.52,$11.52B,2018,Health Care,Major Pharmaceuticals
ESTC,Elastic N.V.,75.08,$5.33B,2018,Technology,Computer Software: Prepackaged Software
EGO,Eldorado Gold Corporation,2.66,$422.41M,NA,Basic Industries,Precious Metals
ELVT,"Elevate Credit, Inc.",4.66,$201.3M,2017,Finance,Finance: Consumer Services
LLY,Eli Lilly and Company,116.59,$123.51B,NA,Health Care,Major Pharmaceuticals
ELLI,"Ellie Mae, Inc.",73.11,$2.55B,2011,Technology,Computer Software: Prepackaged Software
EFC,Ellington Financial LLC,15.56,$467.01M,2010,Finance,Real Estate
EARN,Ellington Residential Mortgage REIT,11.21,$141.36M,2013,Consumer Services,Real Estate Investment Trusts
AKO.A,Embotelladora Andina S.A.,NA,NA,NA,NA,NA
AKO.B,Embotelladora Andina S.A.,NA,NA,NA,NA,NA
ERJ,Embraer S.A.,21.02,$3.85B,2e3,Capital Goods,Aerospace
EME,"EMCOR Group, Inc.",64.9,$3.74B,NA,Capital Goods,Engineering & Construction
EEX,"Emerald Expositions Events, Inc.",13.72,$1B,2017,Miscellaneous,Business Services
EMES,Emerge Energy Services LP,2.61,$81M,2013,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
EBS,"Emergent Biosolutions, Inc.",62.34,$3.18B,2006,Health Care,Major Pharmaceuticals
EMR,Emerson Electric Company,63.68,$39.68B,NA,Energy,Consumer Electronics/Appliances
ESRT,"Empire State Realty Trust, Inc.",14.87,$4.58B,2013,Consumer Services,Real Estate Investment Trusts
EIG,Employers Holdings Inc,44.55,$1.46B,2007,Finance,Property-Casualty Insurers
